,category
964,2
965,3
966,4
967,5
968,6
969,7
970,8
971,9
972,1
973,2
974,3
975,4
976,5
977,6
978,7
979,8
980,9
981,1
982,2
983,3
984,4
985,5
986,6
987,7
988,8
989,9
990,1
991,2
992,3
993,4
994,5
995,6
996,7
997,8
998,9
999,1
1000,2
1001,3
1002,4
1003,5
1004,6
1005,7
1006,8
1007,9
1008,1
1009,2
1010,3
1011,4
1012,5
1013,6
1014,7
1015,8
1016,9
1017,1
1018,2
1019,3
1020,4
1021,5
1022,6
1023,7
1024,8
1025,9
1026,1
1027,2
1028,3
1029,4
1030,5
1031,6
1032,7
1033,8
1034,9
1035,1
1036,2
1037,3
1038,4
1039,5
1040,6
1041,7
1042,8
1043,9
1044,1
1045,2
1046,3
1047,4
1048,5
1049,6
1050,7
1051,8
1052,9
1053,1
1054,2
1055,3
1056,4
1057,5
1058,6
1059,7
1060,8
1061,9
1062,1
1063,2
1064,3
1065,4
1066,5
1067,6
1068,7
1069,8
1070,9
1071,1
1072,2
1073,3
1074,4
1075,5
1076,6
1077,7
1078,8
1079,9
