samples,score,label
HG00338,9,0
HG00339,9.5,0
HG00341,10.5,1
HG00342,5,0
HG00343,7.5,0
HG00344,7.5,0
HG00345,10.5,1
HG00346,10,0
HG00349,13,1
HG00350,9,0
HG00351,10,0
HG00353,5,0
HG00355,13,1
HG00356,12.5,1
HG00357,7.5,0
HG00358,14.5,1
HG00360,13,1
HG00361,7.5,0
HG00362,11.5,1
HG00364,13,1
HG00365,19,1
HG00366,12.5,1
HG00367,12.5,1
HG00368,15,1
HG00369,12.5,1
HG00371,9.5,0
HG00372,15,1
HG00373,17,1
HG00375,9,0
HG00376,10,0
HG00378,7,0
HG00379,13,1
HG00380,11,1
HG00381,9,0
HG00382,19,1
HG00383,7.5,0
HG00384,11.5,1
HG00403,7.5,0
HG00404,6,0
HG00406,6,0
HG00407,9,0
HG00409,6,0
HG00410,10,0
HG00419,12,1
HG00421,4,0
HG00422,9,0
HG00428,15,1
HG00436,10,0
HG00437,7.5,0
HG00442,6.5,0
HG00443,9,0
HG00445,11,1
HG00446,12.5,1
HG00448,9.5,0
HG00449,12,1
HG00451,12.5,1
HG00452,6,0
HG00457,6,0
HG00458,4,0
HG00463,7.5,0
HG00464,8,0
HG00472,4,0
HG00473,9,0
HG00475,11.5,1
HG00476,15,1
HG00478,11.5,1
HG00479,12,1
HG00500,6,0
HG00513,10.5,1
HG00524,14.5,1
HG00525,11,1
HG00530,10.5,1
HG00531,10.5,1
HG00533,6,0
HG00534,9,0
HG00536,6,0
HG00537,12.5,1
HG00542,15,1
HG00543,6,0
HG00551,3.5,0
HG00553,12,1
HG00554,9,0
HG00556,10,0
HG00557,6,0
HG00559,11,1
HG00560,9,0
HG00565,7.5,0
HG00566,6.5,0
HG00580,8,0
HG00581,8.5,0
HG00583,10.5,1
HG00584,9,0
HG00589,15,1
HG00590,12,1
HG00592,7.5,0
HG00593,17.5,1
HG00595,4.5,0
HG00596,10,0
HG00598,6,0
HG00599,6.5,0
HG00607,10.5,1
HG00608,6,0
HG00610,11,1
HG00611,8,0
HG00613,4.5,0
HG00614,8,0
HG00619,10,0
HG00620,12.5,1
HG00622,6,0
HG00623,11.5,1
HG00625,13,1
HG00626,7.5,0
HG00628,5.5,0
HG00629,10.5,1
HG00631,6,0
HG00632,7.5,0
HG00634,12,1
HG00637,11,1
HG00638,5,0
HG00640,15.5,1
HG00641,9,0
HG00650,8.5,0
HG00651,12,1
HG00653,14.5,1
HG00654,9.5,0
HG00656,8.5,0
HG00657,4.5,0
HG00662,6,0
HG00663,7.5,0
HG00671,7.5,0
HG00672,3.5,0
HG00674,12.5,1
HG00675,5.5,0
HG00683,6,0
HG00684,5,0
HG00689,12,1
HG00690,12.5,1
HG00692,7.5,0
HG00693,7,0
HG00698,9,0
HG00699,5,0
HG00701,12.5,1
HG00704,9.5,0
HG00705,6,0
HG00707,4.5,0
HG00708,9.5,0
HG00717,6,0
HG00728,15,1
HG00729,15,1
HG00731,15,1
HG00732,10.5,1
HG00734,9,0
HG00736,6,0
HG00737,10.5,1
HG00739,12,1
HG00740,11.5,1
HG00742,10,0
HG00743,12.5,1
HG00759,5.5,0
HG00766,18.5,1
HG00844,9,0
HG00851,5.5,0
HG00864,10.5,1
HG00867,15.5,1
HG00879,11.5,1
HG00881,10.5,1
HG00956,11.5,1
HG00978,5.5,0
HG00982,5.5,0
HG01028,5,0
HG01029,9,0
HG01031,13,1
HG01046,10.5,1
HG01047,6,0
HG01048,11.5,1
HG01049,5.5,0
HG01051,9.5,0
HG01052,15,1
HG01054,8,0
HG01055,9.5,0
HG01058,6,0
HG01060,10.5,1
HG01061,9.5,0
HG01063,7.5,0
HG01064,9,0
HG01066,10,0
HG01067,8,0
HG01069,5.5,0
HG01070,11,1
HG01072,11,1
HG01073,11.5,1
HG01075,5.5,0
HG01077,10,0
HG01079,11.5,1
HG01080,3.5,0
HG01082,6,0
HG01083,10.5,1
HG01085,4.5,0
HG01086,9.5,0
HG01088,6,0
HG01089,15,1
HG01092,13.5,1
HG01094,19,1
HG01095,12,1
HG01097,7.5,0
HG01098,12.5,1
HG01101,13,1
HG01102,10,0
HG01104,8,0
HG01105,9,0
HG01107,10,0
HG01108,13,1
HG01110,4.5,0
HG01111,10,0
HG01112,19,1
HG01113,8,0
HG01119,14.5,1
HG01121,6.5,0
HG01122,11.5,1
HG01124,6.5,0
HG01125,12,1
HG01130,6.5,0
HG01131,6,0
HG01133,8.5,0
HG01134,7.5,0
HG01136,4,0
HG01137,10.5,1
HG01139,7,0
HG01140,11,1
HG01142,15,1
HG01148,15.5,1
HG01149,6,0
HG01161,6,0
HG01162,8,0
HG01164,12.5,1
HG01167,6.5,0
HG01168,14.5,1
HG01170,8.5,0
HG01171,15.5,1
HG01173,10.5,1
HG01174,9.5,0
HG01176,9,0
HG01177,8,0
HG01182,15,1
HG01183,6.5,0
HG01187,7.5,0
HG01188,15.5,1
HG01190,6,0
HG01191,19,1
HG01197,9,0
HG01198,7.5,0
HG01200,10.5,1
HG01204,9,0
HG01205,13.5,1
HG01241,9,0
HG01242,9,0
HG01247,14.5,1
HG01248,9,0
HG01250,9,0
HG01251,11,1
HG01253,5.5,0
HG01254,9,0
HG01256,6,0
HG01257,14.5,1
HG01259,5,0
HG01260,7.5,0
HG01269,5.5,0
HG01271,18.5,1
HG01272,4,0
HG01275,11,1
HG01277,12,1
HG01280,11.5,1
HG01281,7,0
HG01284,9,0
HG01286,10.5,1
HG01302,7.5,0
HG01303,7,0
HG01305,17,1
HG01308,8,0
HG01311,15.5,1
HG01312,10.5,1
HG01323,10.5,1
HG01325,11.5,1
HG01326,9,0
HG01334,10,0
HG01341,6,0
HG01342,13,1
HG01344,7.5,0
HG01345,12,1
HG01348,9.5,0
HG01350,8,0
HG01351,13.5,1
HG01353,9,0
HG01354,15.5,1
HG01356,10,0
HG01357,9,0
HG01359,10.5,1
HG01360,13,1
HG01362,8.5,0
HG01363,13,1
HG01365,15,1
HG01366,8.5,0
HG01369,9,0
HG01372,10.5,1
HG01374,8,0
HG01375,5.5,0
HG01377,4.5,0
HG01378,6,0
HG01383,7,0
HG01384,6,0
HG01389,15,1
HG01390,5,0
HG01392,9,0
HG01393,8,0
HG01395,7.5,0
HG01396,13,1
HG01398,7.5,0
HG01402,10,0
HG01403,11,1
HG01405,10.5,1
HG01412,16.5,1
HG01413,11,1
HG01414,14.5,1
HG01431,10.5,1
HG01432,12,1
HG01435,4.5,0
HG01437,10,0
HG01438,12.5,1
HG01440,12,1
HG01441,11,1
HG01443,7.5,0
HG01444,12.5,1
HG01447,15,1
HG01455,9,0
HG01456,8,0
HG01459,8,0
HG01461,11,1
HG01462,8,0
HG01464,14.5,1
HG01465,10.5,1
HG01468,13,1
HG01474,10.5,1
HG01479,5.5,0
HG01485,4.5,0
HG01486,8,0
HG01488,6,0
HG01489,9,0
HG01491,10,0
HG01492,6.5,0
HG01494,6.5,0
HG01495,5,0
HG01497,3.5,0
HG01498,10,0
HG01500,13,1
HG01501,10.5,1
HG01503,5,0
HG01504,13,1
HG01506,5.5,0
HG01507,13,1
HG01509,12,1
HG01510,8,0
HG01512,15.5,1
HG01513,10.5,1
HG01515,6,0
HG01516,10,0
HG01518,12,1
HG01519,11,1
HG01521,10.5,1
HG01522,11,1
HG01524,15,1
HG01525,10.5,1
HG01527,9,0
HG01528,12.5,1
HG01530,17,1
HG01531,12.5,1
HG01536,6,0
HG01537,13.5,1
HG01550,10.5,1
HG01551,6.5,0
HG01556,6,0
HG01565,6,0
HG01566,8,0
HG01571,5.5,0
HG01572,6.5,0
HG01577,5.5,0
HG01578,10.5,1
HG01583,9,0
HG01586,7,0
HG01589,12.5,1
HG01593,12.5,1
HG01595,12,1
HG01596,5.5,0
HG01597,9,0
HG01598,6,0
HG01599,9,0
HG01600,11.5,1
HG01602,12,1
HG01603,10,0
HG01605,15,1
HG01606,13.5,1
HG01607,15,1
HG01608,12.5,1
HG01610,9,0
HG01612,11,1
HG01613,12,1
HG01615,11.5,1
HG01617,12,1
HG01618,13.5,1
HG01619,9,0
HG01620,5.5,0
HG01623,7.5,0
HG01624,9.5,0
HG01625,16.5,1
HG01626,7,0
HG01628,4.5,0
HG01630,5.5,0
HG01631,15,1
HG01632,11.5,1
HG01668,10,0
HG01669,12.5,1
HG01670,13,1
HG01672,5.5,0
HG01673,12,1
HG01675,7,0
HG01676,7,0
HG01678,10.5,1
HG01679,15.5,1
HG01680,5,0
HG01682,13.5,1
HG01684,15.5,1
HG01685,13,1
HG01686,11.5,1
HG01694,7,0
HG01695,9,0
HG01697,13,1
HG01699,8.5,0
HG01700,12,1
HG01702,12,1
HG01704,12.5,1
HG01705,5.5,0
HG01707,9.5,0
HG01708,12,1
HG01709,10,0
HG01710,7.5,0
HG01746,11.5,1
HG01747,9,0
HG01756,9,0
HG01757,10.5,1
HG01761,13,1
HG01762,10.5,1
HG01765,12,1
HG01766,15.5,1
HG01767,10.5,1
HG01768,12,1
HG01770,11.5,1
HG01771,7.5,0
HG01773,7.5,0
HG01775,15.5,1
HG01776,12,1
HG01777,15,1
HG01779,12,1
HG01781,9,0
HG01783,7.5,0
HG01784,19,1
HG01785,18,1
HG01786,10,0
HG01789,12,1
HG01790,15,1
HG01791,5.5,0
HG01794,5.5,0
HG01795,18,1
HG01796,10,0
HG01797,6.5,0
HG01798,12.5,1
HG01799,13,1
HG01800,17.5,1
HG01801,8,0
HG01802,12,1
HG01804,11.5,1
HG01805,11.5,1
HG01806,12.5,1
HG01807,14.5,1
HG01808,12,1
HG01809,6,0
HG01810,11.5,1
HG01811,10.5,1
HG01812,11.5,1
HG01813,7.5,0
HG01815,19,1
HG01816,9,0
HG01817,15,1
HG01840,10.5,1
HG01841,11.5,1
HG01842,15,1
HG01843,15,1
HG01844,7.5,0
HG01845,7.5,0
HG01846,10,0
HG01847,8.5,0
HG01848,9,0
HG01849,12,1
HG01850,8,0
HG01851,11.5,1
HG01852,9,0
HG01853,13,1
HG01855,11,1
HG01857,8,0
HG01858,14.5,1
HG01859,10.5,1
HG01860,9,0
HG01861,9,0
HG01862,9,0
HG01863,5.5,0
HG01864,7,0
HG01865,12,1
HG01866,7.5,0
HG01867,14.5,1
HG01868,9.5,0
HG01869,3.5,0
HG01870,5,0
HG01871,9.5,0
HG01872,6,0
HG01873,15,1
HG01874,9.5,0
HG01878,7.5,0
HG01879,7.5,0
HG01880,12,1
HG01882,14.5,1
HG01883,9,0
HG01885,13,1
HG01886,4.5,0
HG01889,6,0
HG01890,17.5,1
HG01892,6,0
HG01893,7,0
HG01894,9,0
HG01896,9,0
HG01912,12,1
HG01914,6,0
HG01915,18,1
HG01917,8.5,0
HG01918,4.5,0
HG01920,7.5,0
HG01921,4.5,0
HG01923,5.5,0
HG01924,12.5,1
HG01926,4,0
HG01927,4,0
HG01932,6.5,0
HG01933,6,0
HG01935,8.5,0
HG01936,7.5,0
HG01938,5.5,0
HG01939,7.5,0
HG01941,4,0
HG01942,6,0
HG01944,8.5,0
HG01945,8.5,0
HG01947,6.5,0
HG01948,11.5,1
HG01950,9,0
HG01951,3.5,0
HG01953,8,0
HG01954,6.5,0
HG01956,9.5,0
HG01958,7.5,0
HG01961,4,0
HG01965,6,0
HG01967,5.5,0
HG01968,6,0
HG01970,5.5,0
HG01971,5.5,0
HG01973,4.5,0
HG01974,11.5,1
HG01976,11,1
HG01977,5.5,0
HG01979,10.5,1
HG01980,5.5,0
HG01982,3.5,0
HG01985,6,0
HG01986,5.5,0
HG01988,11.5,1
HG01989,5,0
HG01990,7,0
HG01991,10.5,1
HG01992,5.5,0
HG01997,6,0
HG02002,5,0
HG02003,17,1
HG02006,6,0
HG02008,5.5,0
HG02009,10.5,1
HG02010,9,0
HG02012,4,0
HG02013,6,0
HG02014,8,0
HG02016,12,1
HG02017,6.5,0
HG02019,9.5,0
HG02020,10,0
HG02023,7.5,0
HG02025,10.5,1
HG02026,11.5,1
HG02028,13.5,1
HG02029,8.5,0
HG02031,6,0
HG02032,9,0
HG02035,7.5,0
HG02040,6,0
HG02047,7.5,0
HG02048,12,1
HG02049,9,0
HG02050,8,0
HG02051,13,1
HG02052,8.5,0
HG02053,14.5,1
HG02054,10.5,1
HG02057,5.5,0
HG02058,10,0
HG02060,8.5,0
HG02061,6,0
HG02064,8.5,0
HG02067,12,1
HG02069,6,0
HG02070,7.5,0
HG02072,10,0
HG02073,6,0
HG02075,9.5,0
HG02076,5.5,0
HG02078,13,1
HG02079,18,1
HG02081,10.5,1
HG02082,12.5,1
HG02084,15,1
HG02085,7.5,0
HG02086,15,1
HG02087,6,0
HG02088,15,1
HG02089,6,0
HG02090,11,1
HG02095,10.5,1
HG02102,3.5,0
HG02104,7,0
HG02105,5.5,0
HG02107,9,0
HG02108,8.5,0
HG02111,10.5,1
HG02113,3.5,0
HG02116,10.5,1
HG02121,12,1
HG02122,8,0
HG02127,12,1
HG02128,18,1
HG02130,13.5,1
HG02131,9,0
HG02133,15,1
HG02134,6.5,0
HG02136,9,0
HG02137,7.5,0
HG02138,9,0
HG02139,5,0
HG02140,7.5,0
HG02141,7.5,0
HG02142,6,0
HG02143,10.5,1
HG02144,8.5,0
HG02146,6,0
HG02147,8,0
HG02150,7.5,0
HG02151,12.5,1
HG02152,14.5,1
HG02153,9.5,0
HG02154,8,0
HG02155,9,0
HG02156,6,0
HG02164,15,1
HG02165,6,0
HG02166,8,0
HG02178,13.5,1
HG02179,8,0
HG02180,12,1
HG02181,9,0
HG02182,9.5,0
HG02184,6,0
HG02185,6.5,0
HG02186,7.5,0
HG02187,14.5,1
HG02188,6,0
HG02190,10.5,1
HG02215,12,1
HG02219,15,1
HG02220,7.5,0
HG02221,15,1
HG02223,6,0
HG02224,11.5,1
HG02230,10,0
HG02231,6.5,0
HG02232,6,0
HG02233,14.5,1
HG02235,8,0
HG02236,8,0
HG02238,11.5,1
HG02239,10.5,1
HG02250,15,1
HG02252,4,0
HG02253,6.5,0
HG02255,13,1
HG02256,13,1
HG02259,5,0
HG02260,5.5,0
HG02262,6,0
HG02265,6,0
HG02266,3.5,0
HG02271,5.5,0
HG02272,8,0
HG02274,9,0
HG02275,5.5,0
HG02277,7,0
HG02278,5.5,0
HG02281,10.5,1
HG02282,4.5,0
HG02283,9,0
HG02284,6,0
HG02285,5,0
HG02286,4,0
HG02291,5,0
HG02292,8,0
HG02298,3.5,0
HG02299,8,0
HG02301,3.5,0
HG02304,11.5,1
HG02307,9,0
HG02308,9,0
HG02309,6,0
HG02312,10.5,1
HG02314,6,0
HG02315,9.5,0
HG02317,8.5,0
HG02318,5,0
HG02322,6,0
HG02323,6,0
HG02325,7.5,0
HG02330,12,1
HG02332,4,0
HG02334,7.5,0
HG02337,12,1
HG02339,6,0
HG02343,10.5,1
HG02345,6,0
HG02348,4,0
HG02351,4.5,0
HG02353,5,0
HG02355,6,0
HG02356,12.5,1
HG02360,7,0
HG02364,21.5,1
HG02367,9.5,0
HG02371,4.5,0
HG02373,7.5,0
HG02374,4,0
HG02375,14.5,1
HG02379,12,1
HG02380,15,1
HG02382,9,0
HG02383,9,0
HG02384,12,1
HG02385,10,0
HG02386,6,0
HG02389,9,0
HG02390,7.5,0
HG02391,12.5,1
HG02392,8,0
HG02394,10.5,1
HG02395,8.5,0
HG02396,9.5,0
HG02397,9,0
HG02398,11.5,1
HG02399,6,0
HG02401,7.5,0
HG02402,8,0
HG02406,7,0
HG02407,10.5,1
HG02408,8,0
HG02409,10,0
HG02410,4,0
HG02419,9.5,0
HG02420,11,1
HG02425,5,0
HG02427,6,0
HG02429,10.5,1
HG02433,7.5,0
HG02439,5.5,0
HG02442,4.5,0
HG02445,8,0
HG02449,9,0
HG02450,8.5,0
HG02455,3.5,0
HG02461,13.5,1
HG02462,10.5,1
HG02464,13.5,1
HG02465,6.5,0
HG02470,12.5,1
HG02471,6,0
HG02476,5.5,0
HG02477,10.5,1
HG02479,15,1
HG02481,4.5,0
HG02484,4.5,0
HG02485,15,1
HG02489,10.5,1
HG02490,9.5,0
HG02491,11,1
HG02493,12.5,1
HG02494,5.5,0
HG02496,9,0
HG02497,5.5,0
HG02501,8.5,0
HG02502,9,0
HG02505,12,1
HG02508,8.5,0
HG02511,6.5,0
HG02512,8,0
HG02513,9,0
HG02521,8.5,0
HG02522,7.5,0
HG02536,7.5,0
HG02537,9,0
HG02541,6.5,0
HG02545,12.5,1
HG02546,4.5,0
HG02549,6,0
HG02554,4,0
HG02555,9,0
HG02557,8,0
HG02558,8,0
HG02561,9,0
HG02562,12.5,1
HG02568,8,0
HG02570,6,0
HG02571,5.5,0
HG02573,6,0
HG02574,9,0
HG02577,6,0
HG02580,5.5,0
HG02582,5.5,0
HG02583,10.5,1
HG02585,9,0
HG02586,9,0
HG02588,9,0
HG02589,8,0
HG02594,6.5,0
HG02595,4,0
HG02597,8.5,0
HG02600,15,1
HG02601,14.5,1
HG02603,10,0
HG02604,14.5,1
HG02610,7.5,0
HG02611,13.5,1
HG02613,8.5,0
HG02614,9,0
HG02620,7.5,0
HG02621,5.5,0
HG02623,12,1
HG02624,12,1
HG02628,6,0
HG02629,10.5,1
HG02634,7.5,0
HG02635,7.5,0
HG02642,12,1
HG02643,10,0
HG02645,5.5,0
HG02646,9,0
HG02648,9,0
HG02649,8,0
HG02651,17,1
HG02652,15,1
HG02654,11,1
HG02655,7.5,0
HG02657,17,1
HG02658,9,0
HG02660,10,0
HG02661,15,1
HG02666,7.5,0
HG02667,9,0
HG02675,10.5,1
HG02676,9,0
HG02678,6,0
HG02679,4,0
HG02681,9.5,0
HG02682,7.5,0
HG02684,10.5,1
HG02685,12,1
HG02687,9,0
HG02688,15,1
HG02690,12,1
HG02691,10.5,1
HG02694,9,0
HG02696,5.5,0
HG02697,11.5,1
HG02699,19,1
HG02700,15.5,1
HG02702,7,0
HG02703,7,0
HG02715,6,0
HG02716,7.5,0
HG02721,6.5,0
HG02722,13,1
HG02724,18,1
HG02725,9,0
HG02727,12,1
HG02728,3.5,0
HG02731,7.5,0
HG02733,12,1
HG02734,14.5,1
HG02736,4,0
HG02737,14.5,1
HG02756,9,0
HG02757,7.5,0
HG02759,4,0
HG02760,8,0
HG02763,8,0
HG02768,6,0
HG02769,7.5,0
HG02771,8,0
HG02772,6,0
HG02774,8,0
HG02775,9,0
HG02778,6,0
HG02780,7.5,0
HG02783,12,1
HG02784,15,1
HG02786,7.5,0
HG02787,15,1
HG02789,7,0
HG02790,13,1
HG02792,7,0
HG02793,13.5,1
HG02798,6.5,0
HG02799,8,0
HG02804,12,1
HG02805,8.5,0
HG02807,10.5,1
HG02808,9,0
HG02810,8,0
HG02811,6,0
HG02813,6,0
HG02814,10.5,1
HG02816,6.5,0
HG02817,9,0
HG02819,4.5,0
HG02820,13,1
HG02836,7,0
HG02837,6,0
HG02839,6.5,0
HG02840,5.5,0
HG02851,7.5,0
HG02852,6,0
HG02854,8.5,0
HG02855,5.5,0
HG02860,8,0
HG02861,10.5,1
HG02870,21.5,1
HG02878,8,0
HG02879,6,0
HG02881,10.5,1
HG02882,12,1
HG02884,10.5,1
HG02885,6.5,0
HG02887,9.5,0
HG02888,4,0
HG02890,13.5,1
HG02891,10.5,1
HG02895,10,0
HG02896,8,0
HG02922,7,0
HG02923,9.5,0
HG02938,13.5,1
HG02941,9,0
HG02943,10.5,1
HG02944,10.5,1
HG02946,9,0
HG02947,10.5,1
HG02952,4,0
HG02953,5.5,0
HG02968,5.5,0
HG02970,5.5,0
HG02971,17,1
HG02973,9,0
HG02974,11,1
HG02976,12.5,1
HG02977,6,0
HG02979,7.5,0
HG02981,9,0
HG02982,5.5,0
HG02983,5.5,0
HG03006,8.5,0
HG03007,13.5,1
HG03009,10.5,1
HG03012,10,0
HG03015,15.5,1
HG03016,10.5,1
HG03018,12,1
HG03019,8.5,0
HG03021,12,1
HG03022,10.5,1
HG03024,12,1
HG03025,5,0
HG03027,12,1
HG03028,5,0
HG03039,10.5,1
HG03040,6,0
HG03045,12,1
HG03046,10.5,1
HG03048,5,0
HG03049,10.5,1
HG03052,7.5,0
HG03054,12.5,1
HG03055,5.5,0
HG03057,10.5,1
HG03058,8,0
HG03060,5.5,0
HG03061,10.5,1
HG03063,7.5,0
HG03064,12.5,1
HG03066,7.5,0
HG03069,7,0
HG03072,9,0
HG03073,9,0
HG03074,9,0
HG03077,7.5,0
HG03078,9.5,0
HG03079,17,1
HG03081,9,0
HG03082,12,1
HG03084,7.5,0
HG03085,4,0
HG03086,12.5,1
HG03088,3.5,0
HG03091,15,1
HG03095,5.5,0
HG03096,8.5,0
HG03097,8.5,0
HG03099,7.5,0
HG03100,12,1
HG03103,5.5,0
HG03105,9.5,0
HG03108,15,1
HG03109,11,1
HG03111,6,0
HG03112,15,1
HG03114,12,1
HG03115,12.5,1
HG03117,6,0
HG03118,9.5,0
HG03120,7.5,0
HG03121,7,0
HG03123,8.5,0
HG03124,7,0
HG03126,7.5,0
HG03127,4.5,0
HG03129,7.5,0
HG03130,9,0
HG03132,7.5,0
HG03133,8.5,0
HG03135,6,0
HG03136,13.5,1
HG03139,10,0
HG03157,6,0
HG03159,12,1
HG03160,8.5,0
HG03162,4,0
HG03163,10.5,1
HG03166,10.5,1
HG03168,7.5,0
HG03169,5.5,0
HG03172,11,1
HG03175,12.5,1
HG03189,5,0
HG03190,7.5,0
HG03193,9,0
HG03195,9,0
HG03196,12,1
HG03198,6,0
HG03199,7.5,0
HG03202,9,0
HG03209,4.5,0
HG03212,5.5,0
HG03224,10,0
HG03225,5.5,0
HG03228,8.5,0
HG03229,9,0
HG03234,10,0
HG03235,17,1
HG03237,13,1
HG03238,12.5,1
HG03240,9,0
HG03241,6,0
HG03246,5.5,0
HG03247,7.5,0
HG03258,8,0
HG03259,6,0
HG03265,10.5,1
HG03267,11,1
HG03268,5.5,0
HG03270,7.5,0
HG03271,13.5,1
HG03279,11.5,1
HG03280,7.5,0
HG03291,12,1
HG03294,9,0
HG03295,9,0
HG03297,6,0
HG03298,13.5,1
HG03300,11.5,1
HG03301,10.5,1
HG03303,9,0
HG03304,6,0
HG03311,8,0
HG03313,6,0
HG03342,7,0
HG03343,9.5,0
HG03351,5.5,0
HG03352,6,0
HG03354,10.5,1
HG03363,4,0
HG03366,8,0
HG03367,7.5,0
HG03369,10,0
HG03370,6,0
HG03372,10,0
HG03376,9,0
HG03378,6,0
HG03380,5.5,0
HG03382,7.5,0
HG03385,8.5,0
HG03388,7.5,0
HG03391,5.5,0
HG03394,9.5,0
HG03397,13.5,1
HG03401,4.5,0
HG03410,7.5,0
HG03419,7.5,0
HG03428,9,0
HG03432,7.5,0
HG03433,11.5,1
HG03436,10.5,1
HG03437,9,0
HG03439,11,1
HG03442,7.5,0
HG03445,9,0
HG03446,6,0
HG03449,6,0
HG03451,11,1
HG03452,8,0
HG03455,6.5,0
HG03457,7.5,0
HG03458,5.5,0
HG03460,11.5,1
HG03461,9.5,0
HG03464,9,0
HG03469,6,0
HG03470,8.5,0
HG03472,6,0
HG03473,8,0
HG03476,9,0
HG03478,12,1
HG03479,18,1
HG03484,12,1
HG03485,5.5,0
HG03488,9.5,0
HG03490,7.5,0
HG03491,10.5,1
HG03499,10,0
HG03511,3.5,0
HG03514,9,0
HG03515,11,1
HG03517,11,1
HG03518,12,1
HG03520,5.5,0
HG03521,6,0
HG03538,7,0
HG03539,10.5,1
HG03547,6,0
HG03548,8,0
HG03556,7.5,0
HG03557,11.5,1
HG03558,9,0
HG03559,9,0
HG03563,6,0
HG03565,6,0
HG03567,7.5,0
HG03571,6,0
HG03572,8.5,0
HG03575,7.5,0
HG03577,8,0
HG03578,9,0
HG03583,9,0
HG03585,8,0
HG03589,5.5,0
HG03593,9.5,0
HG03594,5.5,0
HG03595,6,0
HG03598,7.5,0
HG03600,8.5,0
HG03603,8,0
HG03604,12,1
HG03607,13,1
HG03611,5.5,0
HG03615,7.5,0
HG03616,7.5,0
HG03619,9,0
HG03624,10.5,1
HG03625,9.5,0
HG03629,10,0
HG03631,9.5,0
HG03634,6,0
HG03636,9,0
HG03640,13.5,1
HG03642,12,1
HG03643,9,0
HG03644,10.5,1
HG03645,9.5,0
HG03646,11.5,1
HG03649,9,0
HG03652,9,0
HG03653,17,1
HG03660,10.5,1
HG03663,7.5,0
HG03667,12,1
HG03668,14.5,1
HG03672,9.5,0
HG03673,10.5,1
HG03679,6,0
HG03680,17.5,1
HG03681,8.5,0
HG03684,8.5,0
HG03685,17,1
HG03686,7.5,0
HG03687,12,1
HG03689,12,1
HG03690,8.5,0
HG03691,12,1
HG03692,7.5,0
HG03693,7.5,0
HG03694,21.5,1
HG03695,6.5,0
HG03696,10.5,1
HG03697,8,0
HG03698,5.5,0
HG03702,10.5,1
HG03703,15.5,1
HG03705,8,0
HG03706,5.5,0
HG03708,4.5,0
HG03709,9,0
HG03711,5.5,0
HG03713,6,0
