samples,score,label,age,PC0,PC1,PC2
HG00177,11.5,1,0.9771104567567745,0.12117737441932208,0.39648374431165867,0.9355361298369422
HG00178,10.5,1,0.4879155311860399,0.04899641420717826,0.17424708680588175,0.4258141942814707
HG00179,10.5,1,0.2942250676381528,0.47089133567320507,0.22043781735144652,0.7243004608181326
HG00180,7.5,0,0.7666878008639859,0.23925072108831136,0.7774167593458216,0.5150980418335822
HG00181,15.0,1,0.6086979191472465,0.7592611632946388,0.5757356203450505,0.0871800333584496
HG00182,6.0,0,0.35980117937940326,0.37391927517624535,0.5164509480619554,0.46377992197687357
HG00183,7.5,0,0.9865854873336211,0.013171202008511185,0.9776941433976193,0.5711270245162418
HG00185,9.0,0,0.059059447754334915,0.08326019607280777,0.24356764063474012,0.1250615441855426
HG00186,11.5,1,0.747759998569562,0.7387811759078723,0.926634800873892,0.2206998026778142
HG00187,6.0,0,0.6299332870150387,0.881377075823252,0.46368880714695015,0.9499019994890757
HG00188,13.0,1,0.9709964005545367,0.06085596538249327,0.032214081507095704,0.40568484293336204
HG00189,13.5,1,0.04460322213536916,0.1569611274005901,0.7575937059416734,0.9964192310969111
HG00190,8.5,0,0.46863059829001186,0.22809981909936428,0.7668955621459138,0.35763646613084266
HG00231,15.0,1,0.49840675601493656,0.19733089161591888,0.9893756134008015,0.5083042610125568
HG00232,15.0,1,0.23688203116140494,0.02580888233499168,0.7336326962514502,0.7375426507728584
HG00233,12.0,1,0.34799759630244353,0.7872179062390482,0.564626826903619,0.1154067232832503
HG00234,11.5,1,0.590580558159027,0.4748681451787875,0.698967832861084,0.276513066429664
HG00235,7.0,0,0.16189591542415027,0.11127305006597787,0.6531893733914983,0.6658414430813983
HG00236,13.5,1,0.3246440824663608,0.6043140559271863,0.2960198694387255,0.4794540259786778
HG00237,11.0,1,0.4308345117050443,0.6023812685388875,0.4150183812710143,0.8965465507606114
HG00238,9.5,0,0.2764576536049481,0.6004824393237499,0.5581026520550244,0.23205649739379486
HG00239,17.0,1,0.6663023141999982,0.318162622859676,0.29099350803302393,0.30549211835463164
HG00240,10.0,0,0.731780658827111,0.6159934812305028,0.7679970329973315,0.7912108016338515
HG00242,9.0,0,0.8684479116402811,0.4976668103484022,0.17492390738255503,0.5344457585503194
HG00243,13.0,1,0.38751680766213403,0.32098811019008244,0.08164577714504528,0.7879778848259682
HG00244,11.0,1,0.46310664230451437,0.7103030657109477,0.2218922666168548,0.16348461311590035
HG00245,13.5,1,0.3339027807486461,0.36744964718713025,0.7598076349550618,0.3393556462119839
HG00246,12.5,1,0.9389414993692279,0.20192695350412815,0.7517615056781186,0.3584467240585817
HG00250,10.0,0,0.24302893425993177,0.9203706437266101,0.6027015747973787,0.6844908130442398
HG00251,11.0,1,0.5440460887228014,0.6090608853926048,0.46146172106342187,0.8872966346579779
HG00252,13.0,1,0.4356539765148353,0.10670001722295952,0.7709940945564104,0.334744348733075
HG00253,9.0,0,0.43941884779599083,0.7663437551475529,0.9162036335643536,0.21164550319999897
HG00254,9.0,0,0.6278332695920168,0.8469236821256709,0.8694397536536462,0.010549017103924085
HG00255,8.0,0,0.35076782341006074,0.03234522331477907,0.8624488086176804,0.9602870636943082
HG00256,7.0,0,0.0083582476269497,0.15352191489410894,0.6987331150627609,0.39472010021745474
HG00257,17.0,1,0.3466842949081005,0.6626913210541155,0.2820459270303416,0.9727542876693213
HG00258,9.5,0,0.09242688486472284,0.4344183236320681,0.8705068032243184,0.4812095041398523
HG00259,11.0,1,0.06559685700553075,0.9673554705076941,0.7404434037819656,0.5301116008262354
HG00260,15.0,1,0.9822006655327011,0.5046059462225214,0.6575950713595867,0.6640734863486698
HG00261,8.0,0,0.21922804131826235,0.8685376988017606,0.5107348779688082,0.020004021449358755
HG00262,15.5,1,0.8700075525961163,0.6648762929731247,0.350934251394904,0.49571887601899534
HG00263,9.0,0,0.8288131055733273,0.7897891970624759,0.8074327268806718,0.49220418390252374
HG00264,6.0,0,0.634009579353584,0.2760776958195821,0.6260249650841526,0.02051859455819105
HG00265,12.0,1,0.23354207995218768,0.33451250419142653,0.836623436615049,0.6539904544458363
HG00266,10.5,1,0.6860598063664066,0.08502146019743628,0.4835982281715282,0.1082655575917737
HG00267,8.5,0,0.17143246518279331,0.0807251621912608,0.28169483312484456,0.13126106476513866
HG00268,9.5,0,0.9795236988459995,0.016485709825676098,0.5439083793159413,0.9892959233101519
HG00269,13.0,1,0.17334427177235245,0.09938951609953717,0.16094348234709366,0.19940682049537217
HG00271,12.0,1,0.477578559142263,0.607332485596558,0.03639343886161295,0.557470311665423
HG00272,5.5,0,0.699963168914893,0.8766903639879126,0.18830942020627006,0.3946537679701132
HG00273,17.0,1,0.9909069659699521,0.30882990279598277,0.11306314459618116,0.6444424671771307
HG00274,7.0,0,0.3579113764747036,0.44812607906513857,0.5169154843088732,0.7298521983320759
HG00275,10.5,1,0.8423058932281443,0.22984401706269741,0.46429831397759835,0.6745584143535338
HG00276,15.0,1,0.7246929044102406,0.6137018258284416,0.15065182435486135,0.7646551243556108
HG00277,10.0,0,0.5920768598051456,0.4902967167880119,0.581647343040697,0.1950918565540697
HG00278,10.5,1,0.034938872031981316,0.6703086628729344,0.3890185169400978,0.027363246334377145
HG00280,18.0,1,0.9654493100496108,0.9856844553565588,0.3547649682073165,0.8167050856488121
HG00281,15.5,1,0.8506933927083287,0.11653852625221484,0.6704828499002331,0.3306778976598508
HG00282,9.0,0,0.3890815479835553,0.7380153632175569,0.03245328643624534,0.2945926812978178
HG00284,7.5,0,0.9402996814860505,0.5009932212519186,0.01063533073653744,0.5464125269507787
HG00285,13.5,1,0.433775137903771,0.8176927569293083,0.20505023391694188,0.24593370254082014
HG00288,13.0,1,0.753518609511449,0.9135126322420055,0.8114618506786486,0.11355620397253718
HG00290,15.0,1,0.2871147023647902,0.4504133840359724,0.32822209691697124,0.7702658855124546
HG00304,15.0,1,0.24118975010402088,0.7110181059499319,0.8279401563261904,0.6315385578885546
HG00306,15.0,1,0.08359646719174996,0.947870481910875,0.8540080186697505,0.9955466801147993
HG00308,13.5,1,0.35361360718198465,0.30981568882474086,0.43380375615008515,0.29637945351633377
HG00309,7.0,0,0.7739624201000643,0.663625952679353,0.700520707463372,0.8231801165652517
HG00310,9.0,0,0.40205992028325743,0.7753146628302593,0.5373158886786379,0.22972847296980692
HG00311,9.0,0,0.5294294116253643,0.9274492315387632,0.7689008083994139,0.7313827464238845
HG00313,11.5,1,0.627761050761491,0.5586059556262354,0.06507748298426663,0.33481308168802104
HG00315,12.5,1,0.9043209074755101,0.6247208212349414,0.7242797436740558,0.13054248148589176
HG00318,11.5,1,0.7720512996791807,0.4769162947560479,0.23537155090429374,0.09535676787781111
HG00319,16.5,1,0.3289762955248712,0.04594769609778049,0.9523774056855293,0.7159887590686234
HG00320,9.0,0,0.9708392462625824,0.2133038748145204,0.1561350119953927,0.31421992596521287
HG00321,12.5,1,0.58971215148654,0.8793947650749391,0.22972993167893296,0.9359052878560855
HG00323,8.5,0,0.885164324438702,0.7526638791285106,0.9903816370948583,0.9018498104728656
HG00324,11.5,1,0.052952206452768324,0.2643255970155335,0.013381596232593385,0.37553444162454164
HG00325,7.5,0,0.27387350199620797,0.5346818155706979,0.15537915560235382,0.30725706848658696
HG00326,13.0,1,0.7394595461946365,0.576766411604863,0.7741646559368187,0.8158261075851823
HG00327,13.5,1,0.12277580931484544,0.37570087475502933,0.6092798265094,0.7648640474404581
HG00328,9.0,0,0.41750487989494445,0.6211078076089089,0.28289333172857123,0.5390698338756871
HG00329,10.0,0,0.7952872337334296,0.8924052752859842,0.38838096259834853,0.03859166380347678
HG00330,9.0,0,0.9418590376550514,0.05458365550843369,0.3562183540198006,0.1250425151761817
HG00331,7.0,0,0.667533462995609,0.3413331814633145,0.8177966157898451,0.13136135569073448
HG00332,10.0,0,0.8278776110116657,0.42043715127451875,0.18342874783935403,0.004538767047322034
HG00334,19.0,1,0.9480146607662557,0.3894032421001846,0.09085111498125786,0.540166927811677
HG00335,6.0,0,0.4615758076505463,0.728746390164066,0.6663290373877618,0.4968516569051946
HG00336,9.5,0,0.1674016121296248,0.9008713058299688,0.6369693180840286,0.3260571099411601
HG00337,9.0,0,0.17838280297848386,0.4610903302689944,0.07774315184239655,0.6620297920321031
HG00338,9.0,0,0.5350367862713905,0.40815565302075063,0.9009068442209525,0.4488978059696317
HG00339,9.5,0,0.48923644832548974,0.5538097996210842,0.6419380419887522,0.3179593060968984
HG00341,10.5,1,0.5041151094234254,0.6886806180978412,0.04594771779007245,0.7225705927847182
HG00342,5.0,0,0.41829950292605333,0.9833769564939897,0.2935348618378254,0.9038365329893903
HG00343,7.5,0,0.514204334797801,0.6554794447136575,0.7033626869093722,0.5909394478083727
HG00344,7.5,0,0.8188318094655073,0.9389386846602286,0.02736265790642789,0.2511172924731341
HG00345,10.5,1,0.04978560117243147,0.8007085724431892,0.12832595704266636,0.5274234864198141
HG00346,10.0,0,0.245920548549733,0.5589424890393585,0.15295957437614605,0.9209993386573345
HG00349,13.0,1,0.9124646489510259,0.1955190692731953,0.5283062200527507,0.14308921925959472
HG00350,9.0,0,0.7675995253599647,0.11342037022874574,0.7663950997927595,0.21685667897370364
HG00351,10.0,0,0.0010100518661562141,0.4697155681421543,0.4531022921547314,0.5455987813720233
HG00353,5.0,0,0.951902121280029,0.1776041201462193,0.5388661083667581,0.530603999874543
HG00355,13.0,1,0.3959967549240311,0.522407004008224,0.7361802235473,0.4627955617055859
HG00356,12.5,1,0.77558840896349,0.8694312797569943,0.9376121005579855,0.5158272999880087
HG00357,7.5,0,0.47155057747340234,0.9813464471058706,0.858365085114896,0.9042521669929426
HG00358,14.5,1,0.09303878077741001,0.7990752530608572,0.3260347391932389,0.17497433847153965
HG00360,13.0,1,0.9674672358685498,0.36975201768400445,0.5500501774324895,0.4864443171846632
HG00361,7.5,0,0.13167434036185344,0.8274151152716545,0.6755856601548692,0.5418438713989516
HG00362,11.5,1,0.504726937517639,0.355620543965558,0.48888726497989576,0.6132462855113838
HG00364,13.0,1,0.367907061556331,0.26342014631697785,0.08986975857655954,0.3826472017133502
HG00365,19.0,1,0.9522819963371263,0.22505282713523989,0.5939619900641789,0.04649037646495213
HG00366,12.5,1,0.640584909810936,0.19019443012488668,0.8476474899386753,0.613258567472819
HG00367,12.5,1,0.35455598923298004,0.1474805309583055,0.2745058184933291,0.7160552555478903
HG00368,15.0,1,0.9232396539008295,0.23030721925976805,0.3755336612613078,0.9870388119463265
HG00369,12.5,1,0.1333805294463194,0.052490228726948085,0.9804288877044725,0.33036244001578474
HG00371,9.5,0,0.6818249774402776,0.8342988641571836,0.21690796584137984,0.20747733180605044
HG00372,15.0,1,0.5746233057027089,0.36392422702413796,0.10098641884706783,0.9637101706381052
HG00373,17.0,1,0.2260541846547901,0.028912879629535482,0.6659187187590012,0.7867731922205689
HG00375,9.0,0,0.07300846413130113,0.4804741973416268,0.5191747167839812,0.11477066428902571
HG00376,10.0,0,0.8242977719487922,0.17053135021502996,0.7195255708484232,0.7861135288747322
HG00378,7.0,0,0.7802938138243977,0.587876261478528,0.6947826438278948,0.4788978346739642
HG00379,13.0,1,0.9427110708526466,0.6475123811008865,0.3705157060785914,0.4424915480438798
HG00380,11.0,1,0.646650964875229,0.6590927945585173,0.05372756110528465,0.865907732381847
HG00381,9.0,0,0.6733325726955629,0.0069120123517109056,0.2298288117531927,0.9451269554861972
HG00382,19.0,1,0.1835095447214895,0.5500857726669258,0.23369230086658088,0.1090933233701995
HG00383,7.5,0,0.23260740080881614,0.9477333259437907,0.3855610540777018,0.6214357489436965
HG00384,11.5,1,0.28408796236183964,0.43153807997079485,0.43931398015734646,0.6265363328192858
HG00403,7.5,0,0.6011602697773653,0.9799583652902383,0.51974538153836,0.29701991251638504
HG00404,6.0,0,0.32660568612165697,0.7656469633026655,0.09117608317532133,0.9435030037453478
HG00406,6.0,0,0.3100327155420409,0.4464810046204032,0.5447222177579794,0.4095574874299355
HG00407,9.0,0,0.6993915298870339,0.3144318672172023,0.46494045861958044,0.986736957265415
HG00409,6.0,0,0.675721997660555,0.9815895931841985,0.9301723214887279,0.7276275479250229
HG00410,10.0,0,0.7542146290031183,0.15102471002600648,0.6420059211150407,0.6552596991308322
HG00419,12.0,1,0.31159469156108366,0.41572384964191345,0.842516127860935,0.8027113855843038
HG00421,4.0,0,0.8721447820417225,0.374935925839188,0.40108741816697935,0.09664525260653767
HG00422,9.0,0,0.8350305593937782,0.24003373165397246,0.9128944446807867,0.9799164923667354
HG00428,15.0,1,0.05297236813281969,0.06348107807104375,0.9344617704434053,0.806161470374962
HG00436,10.0,0,0.882486056000975,0.39819689760926125,0.5423346190521232,0.2663795902743811
HG00437,7.5,0,0.06096379398802476,0.5282528723739967,0.8926685890935534,0.2494259248725501
HG00442,6.5,0,0.3158039744284692,0.41350923583531085,0.024456308925838166,0.8563339412516197
HG00443,9.0,0,0.4729560305209488,0.8782435676851694,0.18272540125476566,0.688823880382449
HG00445,11.0,1,0.13638680509580625,0.8442428311181596,0.8980749302010972,0.4267641468804183
HG00446,12.5,1,0.4130382699019445,0.8615566087705463,0.7292650493290148,0.8989518166207263
HG00448,9.5,0,0.770609884453903,0.6651420368807222,0.2544069471085372,0.5611947641387023
HG00449,12.0,1,0.31329356126030916,0.13898823787772352,0.7859052869706502,0.07174169307178757
HG00451,12.5,1,0.6026427804120157,0.1411257524053261,0.6093255988301209,0.6081372212993827
HG00452,6.0,0,0.4122527129225737,0.7160188608332289,0.10797062419063619,0.9025915780154988
HG00457,6.0,0,0.8785981321400834,0.21588408561042582,0.8292494876344833,0.6717043024183634
HG00458,4.0,0,0.39073011638999,0.8514591319799389,0.05557329979099501,0.6015547352237698
HG00463,7.5,0,0.18466872653934296,0.4848216291271611,0.3302536141196012,0.9643214195497222
HG00464,8.0,0,0.15668515681287387,0.7276795221305219,0.6621853863245636,0.5815799689080994
HG00472,4.0,0,0.20315110208890763,0.1483085116501207,0.3931545140210084,0.8956103406331394
HG00473,9.0,0,0.7791334173407973,0.47180724080122693,0.9488563601103703,0.14511779669974245
HG00475,11.5,1,0.9583876490793521,0.3966153373030994,0.06915812491946893,0.07744144293395772
HG00476,15.0,1,0.649020299113078,0.49748959195437814,0.9962873220934682,0.41948670699415913
HG00478,11.5,1,0.1317997937816071,0.4017842657285411,0.061879226611211036,0.7272334343884707
HG00479,12.0,1,0.9679546516895022,0.6442533669433423,0.14000178696449972,0.7332633582397535
HG00500,6.0,0,0.7547851546811283,0.20998825902136264,0.5218982857977118,0.012986741359078291
HG00513,10.5,1,0.9882433282380697,0.3107604937191022,0.32096780333240904,0.7547062425929166
HG00524,14.5,1,0.9011196345679519,0.9997015053873368,0.8374324818171305,0.7786574101579584
HG00525,11.0,1,0.8392522516427698,0.3228484777844727,0.08662538176802348,0.7719762740273658
HG00530,10.5,1,0.3776260747808262,0.9137670408686797,0.022662846506152023,0.05333119005272924
HG00531,10.5,1,0.9200186819332937,0.29172739348583454,0.3335380864666416,0.7080630666946985
HG00533,6.0,0,0.6555857286508795,0.6766710769980046,0.9953508645989297,0.7913958470654313
HG00534,9.0,0,0.16784114296813502,0.1784982343339394,0.2703931004382184,0.9558984558451918
HG00536,6.0,0,0.2186912404413085,0.4297868859562871,0.7220374663209416,0.9586711474936884
HG00537,12.5,1,0.6392666491305219,0.44970443794164494,0.22479103117314325,0.7932279093885998
HG00542,15.0,1,0.4948699283531307,0.8389131351882817,0.2839578840096968,0.3743974552189382
HG00543,6.0,0,0.19403539106379541,0.8722936761798478,0.09802229812471219,0.6231559052864953
HG00551,3.5,0,0.8194660385497576,0.07026457232650185,0.37848200391211473,0.6249334856051182
HG00553,12.0,1,0.5256814952079596,0.24120929435888028,0.03068638866909268,0.3109978474370221
HG00554,9.0,0,0.5244915817749598,0.011836311743575023,0.1681002444822346,0.7962111788473331
HG00556,10.0,0,0.9908242136877661,0.6461393735792244,0.9637054095827944,0.29543186766631335
HG00557,6.0,0,0.8054445450123259,0.961544540965225,0.13497938815522004,0.43040957439495875
HG00559,11.0,1,0.7569662477213823,0.7711083019053055,0.48054275238292044,0.38055182417285927
HG00560,9.0,0,0.896812107220393,0.014320445803650328,0.7166138337273814,0.5719932061354046
HG00565,7.5,0,0.5969052141161746,0.09109477688432033,0.16697282121803114,0.6078901179550409
HG00566,6.5,0,0.3632166984017843,0.07717206267255394,0.2899435558449437,0.07200486920091143
HG00580,8.0,0,0.593401471103782,0.965595613364304,0.13753189310891245,0.3060035009650436
HG00581,8.5,0,0.43580873845108226,0.24346631693016207,0.5330999158049641,0.38722266674314854
HG00583,10.5,1,0.8794302532992788,0.8207588628635111,0.459054622834804,0.05648011376867501
HG00584,9.0,0,0.07087281178112126,0.5232958257265123,0.8229134098829866,0.7412540788067686
HG00589,15.0,1,0.07054529401240428,0.6611020179687047,0.32023082262539593,0.43273281426089394
HG00590,12.0,1,0.9568302708888783,0.8406173704906613,0.6976667546002251,0.40849146000892433
HG00592,7.5,0,0.24263879128475707,0.9109993652969768,0.32151676670310025,0.8899126740688295
HG00593,17.5,1,0.19168845942484525,0.6328491797872743,0.8656146967880212,0.255837111268698
HG00595,4.5,0,0.8505902427702842,0.2690212955135759,0.3354991220228104,0.9897106253818116
HG00596,10.0,0,0.25242347684007727,0.1445829569031073,0.3982594752186651,0.2760778872311257
HG00598,6.0,0,0.0012163452061018099,0.5182085506534532,0.9756412749673411,0.843199855671217
HG00599,6.5,0,0.582095566223275,0.8012044301443509,0.5642718586453214,0.7088445481359693
HG00607,10.5,1,0.34647701579914636,0.2609623593625372,0.548083709933805,0.7826920764132633
HG00608,6.0,0,0.2830077054548701,0.30583599051474164,0.5260123526789316,0.06627552635414946
HG00610,11.0,1,0.5371085107374172,0.5125855223247268,0.5901640358651885,0.4979969956193355
HG00611,8.0,0,0.9119753412959991,0.925057259552987,0.5756755020930474,0.228087794839527
HG00613,4.5,0,0.9458990515134661,0.5047848271061977,0.9819741317515134,0.43689998807196373
HG00614,8.0,0,0.3811239263998424,0.6615862609449041,0.19056687677149164,0.2782756006893988
HG00619,10.0,0,0.5024996075758623,0.05280410679026304,0.9654443753717981,0.5838849155028281
HG00620,12.5,1,0.756449522623714,0.09558685050043958,0.7935928519012406,0.03317655105857409
HG00622,6.0,0,0.10997023420946939,0.23816462277490302,0.6315996139228158,0.15215108900859287
HG00623,11.5,1,0.343950704057011,0.3201272952485926,0.48469066577694564,0.8279851795042196
HG00625,13.0,1,0.9971823956492644,0.9042768106101707,0.7057160903658642,0.7085932622898098
HG00626,7.5,0,0.4582220512151297,0.5493573040935189,0.19710419615857966,0.8742671784414876
HG00628,5.5,0,0.08337394256507213,0.4670253600307932,0.5794088191262582,0.9475728220678362
HG00629,10.5,1,0.688718430670371,0.18502955097741192,0.2011766322598162,0.8623292310893099
HG00631,6.0,0,0.6669033331317794,0.3790666586540309,0.2956373153663997,0.5388433104567888
HG00632,7.5,0,0.6893247858819016,0.38302772447515676,0.22252747590312405,0.3378993626238732
HG00634,12.0,1,0.3627830790148049,0.9993482432989768,0.1786881643906466,0.4942303172390303
HG00637,11.0,1,0.7535538770776291,0.45306064786400235,0.2838890832623038,0.6710606342705211
HG00638,5.0,0,0.00017634716204728562,0.6020896048881308,0.12396462140028275,0.6798252787783295
HG00640,15.5,1,0.45121838371176326,0.4121704761355184,0.5552601469760761,0.8788550111648639
HG00641,9.0,0,0.21930396009269082,0.657892404981498,0.6113616737526576,0.6909716828999483
HG00650,8.5,0,0.7990715062575349,0.08487641375357202,0.3616118045109761,0.15423254584746204
HG00651,12.0,1,0.5517200252598227,0.35880644027163255,0.2561930819988185,0.7116487229553082
HG00653,14.5,1,0.7869879193777307,0.3570862489357506,0.756924880413093,0.7297971981197767
HG00654,9.5,0,0.4166211132573623,0.6229220122310896,0.053748035529277316,0.5585865393669087
HG00656,8.5,0,0.7457505474037487,0.7081991889139287,0.6397075191897413,0.2603097046134383
HG00657,4.5,0,0.6410142124868964,0.6993581012288046,0.9451712560105077,0.5384356334339641
HG00662,6.0,0,0.595943344585492,0.6197150866032839,0.47823380500199997,0.8272766139815184
HG00663,7.5,0,0.16662601854601344,0.08829048755965085,0.768242099019445,0.7953505925488863
HG00671,7.5,0,0.030468174535549064,0.8724647472440019,0.44465264932308646,0.03038180135890811
HG00672,3.5,0,0.876133698539464,0.23048590928946255,0.1057139823365626,0.741625814358333
HG00674,12.5,1,0.8075795678163751,0.5167099528940526,0.140262125652856,0.3508651502614747
HG00675,5.5,0,0.09098847318300418,0.16835214429770196,0.5780419138225218,0.8601639757730253
HG00683,6.0,0,0.021396061720293624,0.9416963437312906,0.9904966773405105,0.1529046583884769
HG00684,5.0,0,0.30427993616525817,0.9825474610766919,0.06561678160504447,0.13614518644336504
HG00689,12.0,1,0.26013123668168014,0.34466704600064113,0.9168038073278304,0.8018782144209221
HG00690,12.5,1,0.8943068089755603,0.2788583366870896,0.9119485816843768,0.01385196848818715
HG00692,7.5,0,0.06357433507025745,0.31936464872318104,0.5840200585841472,0.5276086776291334
HG00693,7.0,0,0.9696405560454676,0.4082298822859187,0.19103548312491203,0.4275718975784596
HG00698,9.0,0,0.4510065516308196,0.38855420582980793,0.28636775366062617,0.18832215379844497
HG00699,5.0,0,0.4488348532575701,0.9143106847540742,0.9166409660566319,0.12386260917956993
HG00701,12.5,1,0.3446172366062231,0.13796076028485416,0.6462887786633451,0.4622946938491128
HG00704,9.5,0,0.04294708318946372,0.20694477667526934,0.25412718539499113,0.8372468973413496
HG00705,6.0,0,0.48459648641466857,0.16190442412977402,0.35597895651173206,0.9683324270268261
HG00707,4.5,0,0.3072044470635703,0.6055484864163082,0.025020362896330695,0.7441517375643306
HG00708,9.5,0,0.09128850944582778,0.7048430812932949,0.6139962541319953,0.49738667742417253
HG00717,6.0,0,0.49966862119251665,0.5505926059702947,0.6988810390211695,0.37799518908004526
HG00728,15.0,1,0.8496691380888387,0.9955365885652007,0.32594414121086723,0.09535223409337257
HG00729,15.0,1,0.39965775437527495,0.6645622528326002,0.2688738403886358,0.11749404796950336
HG00731,15.0,1,0.751364471105979,0.5756845242994547,0.9966937000127518,0.14563372972086563
